"timeStamp","URL","blogName","title","tags","body"
"2023-04-21 07:30:47 GMT","https://pukicho.tumblr.com/post/715194103572447232/i-have-eaten-so-much-astroturf","pukicho","","[]","omninb:

pukicho:

We really let those rich elites convince us golf is a sport. You let them get away with it too, you fucks. 

And what have you done about it, punk?

I have eaten so much AstroTurf"
"2023-04-21 07:29:16 GMT","https://pukicho.tumblr.com/post/715194007844716544/what-really-is-pukicho-we-will-do-extensive","pukicho","","[]","what really ‘is’ pukicho. we will do extensive research killing him"
"2023-04-19 09:51:58 GMT","https://pukicho.tumblr.com/post/715021791369756672/we-really-let-those-rich-elites-convince-us-golf","pukicho","","[]","We really let those rich elites convince us golf is a sport. You let them get away with it too, you fucks."
"2023-04-19 09:11:58 GMT","https://pukicho.tumblr.com/post/715019274724507648/i-can-say-and-do-anything-with-consequences","pukicho","","[]","I can say and do anything with consequences"
"2023-04-19 09:09:38 GMT","https://pukicho.tumblr.com/post/715019128217403392/thanks-for-adding-your-timezone-that-really-helps","pukicho","","[]","chaos–king:

pukicho:

Burping and coughing rn what’s up

Just got into work, 5am est

Thanks for adding your timezone that really helps"
"2023-04-19 09:06:18 GMT","https://pukicho.tumblr.com/post/715018918766460928/burping-and-coughing-rn-whats-up","pukicho","","[]","Burping and coughing rn what’s up"
"2023-04-16 23:32:18 GMT","https://pukicho.tumblr.com/post/714801611752554496/i-am-a-gamer-so-zelda-tears-of-the-fallen-kingdom","pukicho","","[]","I am a gamer so Zelda tears of the fallen kingdom, I’m gonna call it right now, I think Gannon is gonna be a cool guy that u hang out with, and he’s gonna be kinda chill. thats my cool game theory"
"2023-04-16 20:05:56 GMT","https://pukicho.tumblr.com/post/714788627896467456/salsas-wares-pukicho-your-old-pal-pukicho-is","pukicho","","[]","salsas-wares:

pukicho:

  your old pal pukicho is not in the best spirits today. ur ol pal pukicho needs some cheering up

i don’t think you deserve it

I am no longer sad now I just want to get you"
"2023-04-15 21:20:45 GMT","https://pukicho.tumblr.com/post/714702737944788992/your-old-pal-pukicho-is-not-in-the-best-spirits","pukicho","","[]","your old pal pukicho is not in the best spirits today. ur ol pal pukicho needs some cheering up"
"2023-04-14 21:31:41 GMT","https://pukicho.tumblr.com/post/714612829832036352/itschrisboys-pukicho-i-think-there-should-be","pukicho","","[]","itschrisboys:

  pukicho:

  I think there should be levels to the death penalty. Like if u kill one guy, then you just get lethal injection or whatever, but if you kill 30 guys, which is pretty bad, you get shot out a canon whilst silly circus music plays in the background. 

or we could just….not kill people? i mean, supermax prisons exist for a reason.

Funny big clown cannons exist for a reason too"
"2023-04-14 18:07:43 GMT","https://pukicho.tumblr.com/post/714599996981395456/thrawngirl9-pukicho-i-am-now-leaving-my-3-week","pukicho","","[]","thrawngirl9:

pukicho:

  I am now leaving my 3 week hiatus that I didn’t tell any of you about but it happened and now I am fucking back 

It’s not like we noticed you dissapear

thats because i am incredibly smart and left my hiatus 30 times to make more posts"
"2023-04-14 18:01:53 GMT","https://pukicho.tumblr.com/post/714599629633830912/i-am-now-leaving-my-3-week-hiatus-that-i-didnt","pukicho","","[]","I am now leaving my 3 week hiatus that I didn’t tell any of you about but it happened and now I am fucking back"
"2023-04-14 17:51:27 GMT","https://pukicho.tumblr.com/post/714598973650993152/i-think-there-should-be-levels-to-the-death","pukicho","","[]","I think there should be levels to the death penalty. Like if u kill one guy, then you just get lethal injection or whatever, but if you kill 30 guys, which is pretty bad, you get shot out a canon whilst silly circus music plays in the background."
"2023-04-14 08:15:27 GMT","https://pukicho.tumblr.com/post/714562734552907776/saw-this-robot-toilet-at-the-restaurant-was-too","pukicho","","[]","Saw this robot toilet at the restaurant. Was too scared to pee in it so I pissed adjacent to it on th floor."
"2023-04-08 17:40:33 GMT","https://pukicho.tumblr.com/post/714054706111053824/thebirdthedog-pukicho-40-sharks-vs-one-kid","pukicho","","[]","thebirdthedog:

pukicho:

  40 sharks vs one kid, go 

on land or underwater?

The sharks are in water the kid is currently in Austin Texas."
"2023-04-08 17:38:41 GMT","https://pukicho.tumblr.com/post/714054588820602880/40-sharks-vs-one-kid-go","pukicho","","[]","40 sharks vs one kid, go"
"2023-04-07 20:41:35 GMT","https://pukicho.tumblr.com/post/713975498989076480/shout-out-to-the-dark","pukicho","","[]","Shout out to the dark"
"2023-04-06 18:28:10 GMT","https://pukicho.tumblr.com/post/713876507266842624/being-rick-rolled-was-a-nice-troll-back-in-the","pukicho","","[]","Being rick-rolled was a nice troll back in the day, nowadays you dox people and tell them to die, which is a better troll I guess but I miss the simplicity of it all."
